Airline ID,Operator,ICAO,Country,Active,Date,Location,Type,Aboard,Fatalities
2009,Delta Air Lines,DAL,United States,Y,1985-08-02,"Ft. Worth-Dallas, Texas",Lockheed L-1011-1 TriStar,163.0,134.0
2009,Delta Air Lines,DAL,United States,Y,1988-08-31,"Dallas, Texas",Boeing B-727-232 Adv,108.0,14.0
2009,Delta Air Lines,DAL,United States,Y,1996-07-06,"Pensacola, Florida",McDonnell Douglas MD-88,142.0,2.0
2017,Deraya Air Taxi,DRY,Indonesia,N,1991-10-08,"Katapang, Indonesia",Cessna 402A,9.0,1.0
2035,Dirgantara Air Service,DIR,Indonesia,N,2008-01-26,"Near Malinau, Indonesia",CASA NC-212-200,3.0,3.0
2041,Djibouti Airlines,DJB,Djibouti,Y,2002-03-17,"Off Djibouti, Republiof Djibouti",Let 410UVP-E,4.0,4.0
2041,Djibouti Airlines,DJB,Djibouti,Y,2007-07-23,"Near Shinile, Ethiopia",Antonov AN-26V,9.0,1.0
2047,Dominicana de Aviaci,DOA,Dominican Republic,Y,1970-02-15,"Off Santo Domingo, Dominican Republic",McDonnell Douglas DC-9-32,102.0,102.0
2093,Eagle Air,EGR,Sierra Leone,N,1990-07-12,"Off Union Island, Grenadines Islands",Britten-Norman BN-2A-8 Islander,2.0,2.0
2093,Eagle Air,EGR,Sierra Leone,N,2001-12-14,"Geti, DemocratiRepubliCongo",Let 410A,6.0,6.0
2093,Eagle Air,EGR,Sierra Leone,N,2001-12-20,"Zurich, Switzerland",Cessna 560 Citation V,2.0,2.0
2094,Eagle Air,,Uganda,Y,1990-07-12,"Off Union Island, Grenadines Islands",Britten-Norman BN-2A-8 Islander,2.0,2.0
2094,Eagle Air,,Uganda,Y,2001-12-14,"Geti, DemocratiRepubliCongo",Let 410A,6.0,6.0
2094,Eagle Air,,Uganda,Y,2001-12-20,"Zurich, Switzerland",Cessna 560 Citation V,2.0,2.0
2097,Eagle Aviation,EGU,Uganda,N,1991-12-27,"Massai Marra, Kenya",Piper PA-31-350 Navajo,5.0,5.0
2097,Eagle Aviation,EGU,Uganda,N,2002-11-28,"Masai Mara Game Reserve, Kenya",Let 410UVP-E20,20.0,1.0
2098,Eagle Aviation,GYP,United Kingdom,N,1991-12-27,"Massai Marra, Kenya",Piper PA-31-350 Navajo,5.0,5.0
2098,Eagle Aviation,GYP,United Kingdom,N,2002-11-28,"Masai Mara Game Reserve, Kenya",Let 410UVP-E20,20.0,1.0
2109,East Coast Jets,ECJ,United States,N,2008-07-31,"Owatonna, Minnesota",British Aerospace BAe-125-800A,8.0,8.0
2140,Edinburgh Air Charter,EDC,United Kingdom,N,1999-09-03,"Glasgow, Scotland",Cessna 404 Titan Ambassador,11.0,8.0
2143,Egyptair,MSR,Egypt,Y,1972-03-19,"Shamsam Mountains, South Yemen",McDonnell Douglas DC-9-32,22.0,22.0
2143,Egyptair,MSR,Egypt,Y,1972-12-05,"Beni Sueif, Egypt",Boeing 707-336C,6.0,6.0
2143,Egyptair,MSR,Egypt,Y,1974-10-10,"Cairo, Egypt",Tupolev Tu-154,6.0,6.0
2143,Egyptair,MSR,Egypt,Y,1976-12-25,"Near Bangkok, Thailand",Boeing B-707-366C,53.0,53.0
2143,Egyptair,MSR,Egypt,Y,1985-11-24,"Luqa, Malta",Boeing B-737-266,103.0,60.0
2143,Egyptair,MSR,Egypt,Y,1986-06-10,"Near Cairo, Egypt",Fokker F-27 Friendship 500,26.0,23.0
